6,36.906
7,40.570
8,42.428
9,43.992
10,46.577
11,49.389
12,52.228
13,53.880
14,56.210
15,57.940
16,59.300
17,59.864
18,63.683
19,66.575
20,70.455
21,71.748
22,72.905
23,74.697
24,76.609
25,76.946
26,78.707
27,80.086
28,81.382
29,81.817
30,82.760
31,83.535
32,84.101
33,85.361
34,86.008
35,87.825
36,89.620
37,90.623
38,93.504
39,95.583
40,96.816
41,101.477
42,103.544
43,106.053
44,106.459
45,107.018
46,107.919
47,108.334
48,109.719
49,111.714
50,113.479
51,114.484
52,116.928
53,118.124
54,121.091
55,124.561
56,127.732
57,129.778
58,131.952
59,132.558
60,134.014
61,135.671
62,136.233
63,139.040
64,143.400
65,146.567
66,149.139
67,151.108
68,155.837
69,159.095
70,165.987
71,174.221
72,180.812
73,185.866
74,187.319
75,193.158
76,195.549
77,202.024
78,203.420
79,208.941
80,210.996
81,220.008
82,220.775
83,226.061
84,230.102
85,230.999
86,235.137
87,238.094
88,239.351
89,244.802
90,250.499
91,256.622
92,258.428
93,260.198
94,263.202
95,286.589
96,314.457
97,323.934
98,361.250
99,362.681
