cubic_apache2_2000n_100c_1vram.txt,321.67,3.109,143.56,6.218
cubic_nginx_10000n_500c_1vram.txt,686.65,1.456,215.25,14.564
cubic_apache2_10000n_500c_1vram.txt,318.30,3.142,142.05,31.417
cubic_nginx_20000n_1000c_1vram.txt,708.44,1.412,222.08,28.231
cubic_nginx_2000n_100c_1vram.txt,777.14,1.287,243.62,2.574
cubic_apache2_20000n_1000c_1vram.txt,315.92,3.165,140.99,63.308
bic_apache2_20000n_1000c_1vram.txt,286.34,3.492,127.79,69.847
bic_nginx_20000n_1000c_1vram.txt,692.50,1.444,217.08,28.881
bic_apache2_10000n_500c_1vram.txt,327.74,3.051,146.27,30.512
bic_nginx_10000n_500c_1vram.txt,744.96,1.342,233.53,13.424
bic_nginx_2000n_100c_1vram.txt,750.56,1.332,235.28,2.665
bic_apache2_2000n_100c_1vram.txt,313.58,3.189,139.95,6.378
westwood_nginx_20000n_1000c_1vram.txt,691.75,1.446,216.85,28.912
westwood_apache2_2000n_100c_1vram.txt,326.59,3.062,145.75,6.124
westwood_nginx_10000n_500c_1vram.txt,735.74,1.359,230.64,13.592
westwood_apache2_10000n_500c_1vram.txt,317.22,3.152,141.57,31.524
westwood_nginx_2000n_100c_1vram.txt,771.32,1.296,241.79,2.593
westwood_apache2_20000n_1000c_1vram.txt,326.71,3.061,145.81,61.216
htcp_apache2_2000n_100c_1vram.txt,313.45,3.190,139.89,6.381
htcp_nginx_2000n_100c_1vram.txt,758.04,1.319,237.63,2.638
htcp_apache2_20000n_1000c_1vram.txt,325.74,3.070,145.37,61.398
htcp_nginx_10000n_500c_1vram.txt,731.38,1.367,229.27,13.673
htcp_apache2_10000n_500c_1vram.txt,333.47,2.999,148.82,29.988
htcp_nginx_20000n_1000c_1vram.txt,758.82,1.318,229.44,26.357
hybla_apache2_10000n_500c_1vram.txt,325.37,3.073,145.21,30.734
hybla_apache2_20000n_1000c_1vram.txt,325.42,3.073,145.23,61.460
hybla_apache2_2000n_100c_1vram.txt,310.58,3.220,138.61,6.439
hybla_nginx_10000n_500c_1vram.txt,710.74,1.407,222.80,14.070
hybla_nginx_2000n_100c_1vram.txt,766.39,1.305,240.25,2.610
hybla_nginx_20000n_1000c_1vram.txt,657.42,1.521,202.70,30.422
vegas_nginx_2000n_100c_1vram.txt,769.50,1.300,241.22,2.599
vegas_apache2_20000n_1000c_1vram.txt,318.09,3.144,141.96,62.875
vegas_nginx_10000n_500c_1vram.txt,706.15,1.416,221.36,14.161
vegas_apache2_2000n_100c_1vram.txt,305.83,3.270,136.49,6.540
vegas_apache2_10000n_500c_1vram.txt,321.95,3.106,143.68,31.060
vegas_nginx_20000n_1000c_1vram.txt,718.28,1.392,225.16,27.844
nv_apache2_20000n_1000c_1vram.txt,321.17,3.114,143.33,62.273
nv_nginx_20000n_1000c_1vram.txt,722.81,1.383,226.58,27.670
nv_nginx_10000n_500c_1vram.txt,730.22,1.369,228.91,13.694
nv_apache2_2000n_100c_1vram.txt,324.05,3.086,144.62,6.172
nv_nginx_2000n_100c_1vram.txt,760.73,1.315,238.47,2.629
nv_apache2_10000n_500c_1vram.txt,321.58,3.110,143.52,31.097
scalable_nginx_10000n_500c_1vram.txt,710.19,1.408,222.63,14.081
scalable_nginx_2000n_100c_1vram.txt,701.80,1.425,220.00,2.850
