5,505.449
6,525.787
7,549.233
8,576.771
9,628.484
10,667.938
11,682.345
12,707.905
13,724.758
14,753.277
15,774.673
16,800.032
17,822.501
18,845.967
19,862.474
20,877.848
21,887.851
22,911.041
23,920.017
24,932.805
25,948.222
26,958.853
27,972.415
28,988.249
29,998.648
30,1014.808
31,1021.530
32,1028.548
33,1033.715
34,1055.754
35,1071.263
36,1083.429
37,1101.000
38,1114.713
39,1134.773
40,1149.303
41,1167.233
42,1178.159
43,1185.440
44,1194.700
45,1200.022
46,1206.791
47,1215.253
48,1228.888
49,1243.634
50,1255.212
51,1264.511
52,1273.803
53,1288.579
54,1301.941
55,1307.575
56,1323.555
57,1332.042
58,1346.393
59,1362.248
60,1400.994
61,1421.499
62,1432.675
63,1439.136
64,1463.333
65,1474.943
66,1491.887
67,1503.229
68,1523.031
69,1556.315
70,1579.854
71,1595.507
72,1614.713
73,1629.979
74,1673.051
75,1678.878
76,1692.416
77,1704.894
78,1787.476
79,1806.264
80,1825.921
81,1888.383
82,1902.485
83,1928.106
84,1942.044
85,1949.372
86,1967.227
87,1973.236
88,2046.008
89,2058.927
90,2072.833
91,2131.615
92,2213.907
93,2232.836
94,2530.615
95,2564.213
96,2604.846
97,3028.426
98,3092.537
99,3095.962
