Nome,Parâmetro de Hurst,Dimensão Fractal
bic_apache2_10000n_500c_4vram.txt,0.7970149,1079617
bic_nginx_2000n_100c_4vram.txt,0.7836798,1014087
bic_nginx_20000n_1000c_4vram.txt,0.7061827,138359
westwood_apache2_2000n_100c_4vram.txt,0.7719356,1029683
westwood_apache2_10000n_500c_4vram.txt,0.7999512,1091781
westwood_nginx_2000n_100c_4vram.txt,0.733755,1061662
westwood_nginx_10000n_500c_4vram.txt,0.7907762,1062044
westwood_nginx_20000n_1000c_4vram.txt,0.67008,1403621
westwood_apache2_20000n_1000c_4vram.txt,0.7428754,1376754
htcp_nginx_20000n_1000c_4vram.txt,0.8077662,1
htcp_apache2_2000n_100c_4vram.txt,0.7717853,1203817
htcp_nginx_10000n_500c_4vram.txt,0.8134084,1012176
htcp_nginx_2000n_100c_4vram.txt,0.7951398,1
htcp_apache2_20000n_1000c_4vram.txt,0.7470379,1089441
htcp_apache2_10000n_500c_4vram.txt,0.803546,1126329
hybla_nginx_20000n_1000c_4vram.txt,0.7987744,1
hybla_apache2_20000n_1000c_4vram.txt,0.7415665,1312929
hybla_apache2_2000n_100c_4vram.txt,0.7705668,1056662
hybla_apache2_10000n_500c_4vram.txt,0.7971808,1101299
hybla_nginx_2000n_100c_4vram.txt,0.8075776,1013606
hybla_nginx_10000n_500c_4vram.txt,0.8133168,1009256
vegas_apache2_10000n_500c_4vram.txt,0.7862743,1073728
vegas_nginx_20000n_1000c_4vram.txt,0.8128321,1
vegas_nginx_10000n_500c_4vram.txt,0.8027869,1
vegas_apache2_2000n_100c_4vram.txt,0.8047439,1193802
vegas_nginx_2000n_100c_4vram.txt,0.799145,1
vegas_apache2_20000n_1000c_4vram.txt,0.7200159,1308379
nv_apache2_20000n_1000c_4vram.txt,0.6977138,1400392
nv_apache2_2000n_100c_4vram.txt,0.8048532,1068397
nv_nginx_10000n_500c_4vram.txt,0.795323,101161
nv_apache2_10000n_500c_4vram.txt,0.7956211,1192378
nv_nginx_2000n_100c_4vram.txt,0.8073181,1006706
nv_nginx_20000n_1000c_4vram.txt,0.8166747,1
scalable_nginx_2000n_100c_4vram.txt,0.7841693,1
scalable_apache2_20000n_1000c_4vram.txt,0.616938,1626993
scalable_nginx_20000n_1000c_4vram.txt,0.793854,1017629
scalable_apache2_2000n_100c_4vram.txt,0.7883829,1094263
scalable_apache2_10000n_500c_4vram.txt,0.8048752,1096434
scalable_nginx_10000n_500c_4vram.txt,0.8039086,102201
lp_apache2_10000n_500c_4vram.txt,0.8057142,1059707
lp_nginx_20000n_1000c_4vram.txt,0.8009898,1005813
lp_apache2_20000n_1000c_4vram.txt,0.7003602,1383322
lp_nginx_2000n_100c_4vram.txt,0.7828561,1006849
lp_nginx_10000n_500c_4vram.txt,0.7945843,100686
lp_apache2_2000n_100c_4vram.txt,0.7963394,1135235
veno_nginx_20000n_1000c_4vram.txt,0.8023579,1035388
veno_apache2_2000n_100c_4vram.txt,0.7973688,11644
veno_nginx_2000n_100c_4vram.txt,0.8085582,1001072
veno_nginx_10000n_500c_4vram.txt,0.7737231,1
veno_apache2_10000n_500c_4vram.txt,0.7959369,1103771
veno_apache2_20000n_1000c_4vram.txt,0.7328425,1357356
yeah_nginx_2000n_100c_4vram.txt,0.7632703,1048429
