Nome,Req. Por Segundo,Tempo por Req.,Taxa de Transferencia,Tempo levado para testes,Parâmetro de Hurst,Dimensão Fractal
illinois_nginx_2000n_100c_1vram.txt,798.68,1252,250.37,2504,0.8056986,1.001944
illinois_apache2_10000n_500c_1vram.txt,343.00,2915,153.08,29155,0.8280919,1.007806
illinois_nginx_10000n_500c_1vram.txt,788.06,1269,247.04,12689,0.7953359,1.016646
illinois_apache2_20000n_1000c_1vram.txt,346.56,2885,154.67,57709,0.6986776,1.527128
illinois_apache2_2000n_100c_1vram.txt,343.15,2914,153.14,5828,0.7802982,1.23656
dctcp_nginx_20000n_1000c_1vram.txt,753.60,1327,236.11,26539,0.8045102,1
dctcp_apache2_10000n_500c_1vram.txt,338.55,2954,151.09,29537,0.784745,1.126136
dctcp_nginx_10000n_500c_1vram.txt,796.02,1256,249.53,12562,0.8032017,1
dctcp_nginx_2000n_100c_1vram.txt,780.88,1281,244.79,2561,0.7932555,1
dctcp_apache2_2000n_100c_1vram.txt,339.19,2948,151.38,5896,0.802898,1.045893
dctcp_apache2_20000n_1000c_1vram.txt,352.32,2838,157.24,56766,0.7560799,1.313166
cdg_nginx_10000n_500c_1vram.txt,779.90,1282,244.48,12822,0.7979497,1
cdg_apache2_10000n_500c_1vram.txt,346.00,2890,154.42,28902,0.7808909,1.096892
cdg_nginx_2000n_100c_1vram.txt,756.13,1323,237.03,2645,0.7917342,1
cdg_apache2_20000n_1000c_1vram.txt,346.67,2885,154.72,57691,0.7010775,1.57978
cdg_nginx_20000n_1000c_1vram.txt,803.80,1244,242.03,24882,0.8095108,1
cdg_apache2_2000n_100c_1vram.txt,336.71,2970,150.27,5940,0.7962946,1.188523
bbr_nginx_10000n_500c_1vram.txt,769.00,1300,241.06,13004,0.7938466,1.027438
bbr_nginx_2000n_100c_1vram.txt,747.42,1338,234.30,2676,0.7851541,1
bbr_nginx_20000n_1000c_1vram.txt,772.87,1294,242.28,25878,0.7964008,1
bbr_apache2_20000n_1000c_1vram.txt,296.10,3377,132.15,67545,0.6914147,1.376482
bbr_apache2_2000n_100c_1vram.txt,337.21,2965,150.49,5931,0.7909827,1.071828
bbr_apache2_10000n_500c_1vram.txt,346.51,2886,154.64,28859,0.815467,1.215586
cubic_apache2_2000n_100c_4vram.txt,321.74,3108,143.59,6216,0.8121769,1095708
cubic_apache2_10000n_500c_4vram.txt,335.13,2984,149.56,29839,0.7964393,1072252
cubic_nginx_20000n_1000c_4vram.txt,742.18,1347,232.65,26948,0.8031617,1010753
cubic_nginx_10000n_500c_4vram.txt,742.72,1346,232.82,13464,0.7795443,1010762
cubic_apache2_20000n_1000c_4vram.txt,329.01,3039,146.83,60789,0.6570653,1558837
cubic_nginx_2000n_100c_4vram.txt,754.06,1326,236.38,2652,0.8065818,1003277
bic_nginx_10000n_500c_4vram.txt,733.07,1364,229.80,13641,0.8020141,1
bic_apache2_2000n_100c_4vram.txt,339.01,2950,151.30,5899,0.6929606,1112661
bic_apache2_10000n_500c_4vram.txt,321.90,3107,143.66,31066,0.7970149,1079617
bic_nginx_2000n_100c_4vram.txt,802.73,1246,251.64,2492,0.7836798,1014087
bic_nginx_20000n_1000c_4vram.txt,325.48,3072,145.26,61447,0.7061827,138359
westwood_apache2_2000n_100c_4vram.txt,316.92,3155,141.44,6311,0.7719356,1029683
westwood_apache2_10000n_500c_4vram.txt,323.90,3087,144.55,30874,0.7999512,1091781
westwood_nginx_2000n_100c_4vram.txt,333.79,2996,148.97,5992,0.733755,1061662
westwood_nginx_10000n_500c_4vram.txt,322.54,3100,143.94,31004,0.7907762,1062044
westwood_nginx_20000n_1000c_4vram.txt,335.71,2979,149.82,59576,0.67008,1403621
westwood_apache2_20000n_1000c_4vram.txt,316.49,3160,141.24,63194,0.7428754,1376754
htcp_nginx_20000n_1000c_4vram.txt,723.83,1382,220.53,27631,0.8077662,1
htcp_apache2_2000n_100c_4vram.txt,335.02,2985,149.52,5970,0.7717853,1203817
htcp_nginx_10000n_500c_4vram.txt,771.13,1297,241.73,12968,0.8134084,1012176
htcp_nginx_2000n_100c_4vram.txt,757.92,1319,237.59,2639,0.7951398,1
htcp_apache2_20000n_1000c_4vram.txt,320.14,3124,142.88,62472,0.7470379,1089441
htcp_apache2_10000n_500c_4vram.txt,326.57,3062,145.74,30621,0.803546,1126329
hybla_nginx_20000n_1000c_4vram.txt,795.88,1256,231.98,25129,0.7987744,1
hybla_apache2_20000n_1000c_4vram.txt,318.52,3140,142.15,62791,0.7415665,1312929
hybla_apache2_2000n_100c_4vram.txt,308.00,3247,137.46,6494,0.7705668,1056662
hybla_apache2_10000n_500c_4vram.txt,317.03,3154,141.49,31543,0.7971808,1101299
hybla_nginx_2000n_100c_4vram.txt,772.35,1295,242.11,2590,0.8075776,1013606
hybla_nginx_10000n_500c_4vram.txt,760.04,1316,238.25,13157,0.8133168,1009256
vegas_apache2_10000n_500c_4vram.txt,327.72,3051,146.26,30514,0.7862743,1073728
vegas_nginx_20000n_1000c_4vram.txt,724.36,1381,227.07,27610,0.8128321,1
vegas_nginx_10000n_500c_4vram.txt,770.83,1297,241.64,12973,0.8027869,1
vegas_apache2_2000n_100c_4vram.txt,321.39,3112,143.43,6223,0.8047439,1193802
vegas_nginx_2000n_100c_4vram.txt,716.22,1396,224.52,2792,0.799145,1
vegas_apache2_20000n_1000c_4vram.txt,325.75,3070,145.38,61396,0.7200159,1308379
nv_apache2_20000n_1000c_4vram.txt,304.35,3286,135.83,65715,0.6977138,1400392
nv_apache2_2000n_100c_4vram.txt,320.31,3122,142.95,6244,0.8048532,1068397
nv_nginx_10000n_500c_4vram.txt,771.27,1297,241.78,12966,0.795323,101161
nv_apache2_10000n_500c_4vram.txt,310.06,3225,138.37,32252,0.7956211,1192378
nv_nginx_2000n_100c_4vram.txt,710.92,1407,222.86,2813,0.8073181,1006706
nv_nginx_20000n_1000c_4vram.txt,734.44,1362,230.23,27231,0.8166747,1
scalable_nginx_2000n_100c_4vram.txt,743.47,1345,233.06,2690,0.7841693,1
scalable_apache2_20000n_1000c_4vram.txt,315.91,3165,140.99,63308,0.616938,1626993
scalable_nginx_20000n_1000c_4vram.txt,741.21,1349,232.35,26983,0.793854,1017629
scalable_apache2_2000n_100c_4vram.txt,315.30,3172,140.71,6343,0.7883829,1094263
scalable_apache2_10000n_500c_4vram.txt,309.84,3228,138.28,32275,0.8048752,1096434
scalable_nginx_10000n_500c_4vram.txt,661.72,1511,207.43,15112,0.8039086,102201
lp_apache2_10000n_500c_4vram.txt,325.34,3074,145.20,30737,0.8057142,1059707
lp_nginx_20000n_1000c_4vram.txt,712.99,1403,216.14,28051,0.8009898,1005813
lp_apache2_20000n_1000c_4vram.txt,244.15,4096,108.95,81918,0.7003602,1383322
lp_nginx_2000n_100c_4vram.txt,766.58,1304,240.31,2609,0.7828561,1006849
lp_nginx_10000n_500c_4vram.txt,666.86,1500,209.05,14996,0.7945843,100686
lp_apache2_2000n_100c_4vram.txt,320.60,3119,143.08,6238,0.7963394,1135235
veno_nginx_20000n_1000c_4vram.txt,645.71,1549,202.41,30974,0.8023579,1035388
veno_apache2_2000n_100c_4vram.txt,315.59,3169,140.84,6337,0.7973688,11644
veno_nginx_2000n_100c_4vram.txt,771.82,1296,241.95,2591,0.8085582,1001072
veno_nginx_10000n_500c_4vram.txt,697.84,1433,218.76,14330,0.7737231,1
veno_apache2_10000n_500c_4vram.txt,323.49,3091,144.37,30913,0.7959369,1103771
veno_apache2_20000n_1000c_4vram.txt,306.31,3265,136.70,65294,0.7328425,1357356
yeah_nginx_2000n_100c_4vram.txt,748.43,1336,234.61,2672,0.7632703,1048429
yeah_apache2_20000n_1000c_4vram.txt,322.62,3100,143.98,61993,0.6733069,1379596
yeah_nginx_20000n_1000c_4vram.txt,704.10,1420,220.72,28405,0.8123534,1037668
yeah_apache2_10000n_500c_4vram.txt,299.06,3344,133.47,33438,0.801249,1066661
yeah_nginx_10000n_500c_4vram.txt,728.97,1372,228.51,13718,0.7839318,1
yeah_apache2_2000n_100c_4vram.txt,315.03,3174,140.59,6349,0.7890215,1123436
illinois_nginx_10000n_500c_4vram.txt,592.04,1689,185.59,16891,0.7930397,1012395
illinois_apache2_20000n_1000c_4vram.txt,290.20,3446,129.51,68917,0.7114471,1393619
illinois_apache2_2000n_100c_4vram.txt,315.24,3172,140.69,6344,0.7755859,1123766
illinois_apache2_10000n_500c_4vram.txt,273.83,3652,122.21,36519,0.8058726,1086787
illinois_nginx_20000n_1000c_4vram.txt,809.47,1235,209.71,24708,0.8059215,1032625
illinois_nginx_2000n_100c_4vram.txt,752.21,1329,235.80,2659,0.7817455,1003107
dctcp_nginx_10000n_500c_4vram.txt,757.35,1320,237.41,13204,0.8105279,1
dctcp_nginx_20000n_1000c_4vram.txt,735.02,1361,228.49,27210,0.8023508,1007762
dctcp_apache2_2000n_100c_4vram.txt,326.41,3064,145.67,6127,0.7978884,1132697
dctcp_nginx_2000n_100c_4vram.txt,762.88,1311,239.15,2622,0.8164489,101234
dctcp_apache2_20000n_1000c_4vram.txt,333.17,3001,148.69,60030,0.7340436,1401284
dctcp_apache2_10000n_500c_4vram.txt,328.43,3045,146.57,30448,0.7878174,105357
cdg_apache2_20000n_1000c_4vram.txt,305.58,3272,136.38,65450,0.6988268,1353445
cdg_apache2_2000n_100c_4vram.txt,310.18,3224,138.43,6448,0.8113831,1037682
cdg_nginx_2000n_100c_4vram.txt,696.91,1435,218.46,2870,0.8030117,1
cdg_apache2_10000n_500c_4vram.txt,319.72,3128,142.69,31277,0.8017724,1053217
cdg_nginx_20000n_1000c_4vram.txt,718.40,1392,225.20,27840,0.7921323,1011744
cdg_nginx_10000n_500c_4vram.txt,673.67,1484,211.18,14844,0.7919076,1061869
bbr_nginx_2000n_100c_4vram.txt,775.97,1289,243.25,2577,0.8036005,1
bbr_nginx_10000n_500c_4vram.txt,746.75,1339,234.09,13391,0.78671,1013177
bbr_apache2_20000n_1000c_4vram.txt,322.36,3102,143.87,62042,0.7298049,1106463
bbr_apache2_2000n_100c_4vram.txt,335.83,2978,149.88,5955,0.7310243,1058114
bbr_apache2_10000n_500c_4vram.txt,319.37,3131,142.53,31312,0.7940626,1082657
bbr_nginx_20000n_1000c_4vram.txt,725.46,1378,227.41,27569,0.8050406,1021317
