5,187.893
6,191.847
7,198.076
8,205.060
9,214.013
10,220.396
11,226.083
12,230.821
13,235.220
14,242.620
15,248.982
16,252.672
17,258.055
18,264.172
19,271.230
20,276.158
21,279.172
22,282.685
23,289.112
24,291.830
25,294.914
26,300.930
27,309.088
28,316.658
29,322.633
30,326.667
31,329.048
32,333.694
33,338.464
34,342.093
35,348.562
36,364.562
37,371.256
38,375.100
39,376.858
40,382.054
41,386.166
42,389.983
43,401.339
44,411.936
45,416.348
46,423.606
47,438.062
48,450.676
49,457.902
50,462.700
51,468.234
52,476.392
53,487.360
54,493.305
55,497.678
56,507.909
57,511.858
58,521.162
59,531.349
60,550.613
61,567.925
62,587.011
63,598.617
64,615.161
65,634.497
66,650.825
67,668.500
68,698.657
69,720.831
70,734.615
71,756.619
72,830.725
73,834.968
74,936.987
75,964.137
76,1002.955
77,1028.573
78,1055.298
79,1115.193
80,1131.262
81,1161.235
82,1173.805
83,1187.129
84,1222.348
85,1231.495
86,1234.514
87,1246.803
88,1265.728
89,1267.499
90,1268.033
91,1268.584
92,1269.126
93,1270.943
94,1291.726
95,1302.504
96,1304.624
97,1464.542
98,1511.787
99,1550.639
